x,y
0.851843,0.233059
0.848409,0.189484
0.949865,0.129386
0.920034,0.203100
0.882230,0.121825
0.980372,0.114463
0.974479,0.105698
0.752079,0.047503
1.049573,0.034187
0.853121,0.325692
0.873252,0.019425
0.976909,0.120010
0.799149,0.321297
0.705774,0.000000
0.655523,0.122750
0.782556,0.353064
1.009550,0.018242
0.780171,0.282162
0.792586,0.312806
0.789668,0.135731
0.720826,0.143943
0.843345,0.117193
0.887279,0.106043
0.804015,0.014336
0.961970,0.051924
0.909571,0.074629
1.023445,0.089785
0.242319,0.545250
0.820190,0.328139
1.033636,0.222971
0.788024,0.000000
0.931239,0.053457
0.649215,0.268613
0.833565,0.085911
0.967428,0.052855
0.946898,0.011636
0.806940,0.260295
0.628213,0.400619
0.813050,0.014738
0.993383,0.100855
0.925070,0.041534
0.610167,0.000000
0.956760,0.000000
0.876827,0.308361
0.927531,0.108898
0.728690,0.342257
0.771806,0.000232
0.605925,0.169657
0.926615,0.000000
0.784003,0.293922
0.934745,0.011649
0.485205,0.297577
0.684596,0.433248
0.330252,0.387255
0.982652,0.094385
0.861175,0.064027
0.969491,0.010255
0.909994,0.004940
0.898192,0.138518
0.783269,0.204674
0.988075,0.205275
0.875581,0.004033
0.954250,0.103779
0.928444,0.048033
0.913348,0.084047
0.771050,0.009166
0.759985,0.194336
0.922987,0.238449
0.783953,0.355703
0.584065,0.234024
0.849904,0.019469
0.831369,0.008009
0.842383,0.104786
0.920383,0.148847
0.721859,0.036546
0.921459,0.151952
0.667659,0.045946
0.305863,0.485571
0.878080,0.000000
0.794659,0.085092
0.853109,0.051449
0.717045,0.097186
0.862183,0.263185
0.770664,0.215639
0.783975,0.049860
1.026518,0.040485
0.773555,0.355626
0.961086,0.083016
0.572837,0.213274
0.779545,0.251403
0.859170,0.000160
0.587042,0.131302
0.879458,0.111108
0.980708,0.045916
0.983727,0.253503
0.834985,0.177888
0.968776,0.130086
0.628204,0.187114
0.864373,0.034893
0.889343,0.173058
0.811777,0.072088
0.928442,0.123269
0.979444,0.018761
0.668464,0.161063
0.836659,0.185154
0.958031,0.065751
0.921253,0.079083
0.794931,0.024568
0.572097,0.249785
0.864776,0.090409
0.817838,0.138097
0.797718,0.164483
0.577607,0.427116
0.655810,0.214213
0.930980,0.077702
0.937903,0.272625
0.934664,0.056796
0.793925,0.320681
0.870206,0.059862
0.943168,0.088997
0.920289,0.136447
0.839892,0.094292
0.965293,0.096691
0.943763,0.104821
0.876483,0.115081
0.769535,0.170803
1.074905,0.063007
0.583206,0.347888
0.713927,0.176320
0.475431,0.522509
0.762177,0.000000
0.778932,0.202566
0.799115,0.034973
0.867112,0.058063
0.743918,0.145879
0.836014,0.005618
0.753015,0.008655
0.207406,0.604486
0.782237,0.049571
0.824867,0.040132
0.980688,0.094373
0.743533,0.008922
0.800025,0.115678
0.890440,0.025708
0.914782,0.010178
0.733400,0.234073
0.884487,0.190932
0.712780,0.013573
0.908507,0.120573
0.544162,0.178209
0.991787,0.004206
0.903459,0.000000
0.770616,0.059647
0.845091,0.050889
0.739578,0.072426
0.799888,0.235970
0.934265,0.199783
1.023293,0.008369
0.939386,0.096774
0.801243,0.185004
0.864254,0.049199
0.789428,0.329134
0.725185,0.112102
0.748663,0.248761
0.711994,0.022908
0.816404,0.299532
0.925511,0.085682
0.914153,0.087764
0.945336,0.054419
0.807876,0.209374
0.805095,0.036205
0.581159,0.013421
0.918147,0.032238
0.753838,0.057131
0.926505,0.209811
0.781299,0.135056
0.554038,0.329055
0.794297,0.241097
0.865191,0.000000
0.840032,0.030347
0.834660,0.153960
0.739798,0.222104
0.884804,0.066800
0.747863,0.255336
0.902189,0.102987
0.813487,0.008434
0.910023,0.040160
0.761562,0.093132
0.902279,0.028788
0.813428,0.067694
0.875978,0.131838
