sx,sx2,sy,sy2,gamma,delta
15358.908868,6306.54873257,27198.843942,16863.0289554,1.72,1.36
18080.448753,9417.1452348,38962.67519,33884.8974707,0.4,0.24
14636.059347,5743.79144883,28158.29416,18035.4756536,1.72,1.32
17374.197303,8504.48641826,21694.8293161,11551.3878355,1.44,1.96
18302.775327,9764.10183123,22014.3061578,12075.2981593,1,2
17025.376152,8113.95090893,22116.9770406,11973.768404,1.44,1.92
13950.6636426,5290.57887105,41605.313273,38680.1649471,1,0
16533.827164,7729.24224736,31294.865042,22027.9632728,1,1
20367.67607,12000.0706395,27599.197044,17465.4435622,0.48,1.28
21791.065104,13949.3991334,24413.7493577,14128.5810929,0.36,1.56
12450.6683197,3983.60876706,37418.028408,31226.9540465,1.64,0.44
12512.0347624,4001.21668126,37144.71512,30778.3657951,1.64,0.48
19984.453845,11714.2975228,28097.281763,18045.6302427,0.48,1.24
19366.487829,10725.6101004,21200.9428675,11171.43117,1.12,1.96
15085.889302,6297.08480481,36418.482163,29600.1401393,1.12,0.52
22398.681726,14944.7021184,23840.4191057,13769.1406558,0.28,1.64
21261.693528,13420.6558146,23800.2192685,13635.5869918,0.28,1.68
12438.5023696,3977.5084604,36676.708749,30002.4294307,1.72,0.52
11467.4145543,3244.32418923,38857.202646,33684.0534866,1.76,0.32
19335.580546,10883.5125445,32066.163892,23102.207541,0.48,0.88
12424.927147,3936.23895909,36308.667762,29406.9266646,1.72,0.56
12020.1691547,3622.13004068,38427.548512,32939.5655031,1.76,0.36
20454.119402,12368.2951299,38992.023415,33944.6898082,0.08,0.2
21142.779844,13032.4972996,36931.374072,30465.5355697,0.08,0.4
20618.530853,12344.1281298,20766.9009463,10842.4877804,0.72,2
18606.821922,10117.1498302,35208.844489,27705.4501084,0.08,0.6
15318.770465,6557.38675094,41731.567619,38897.5619091,0.72,0
22901.613532,15295.3709306,26634.5333843,16414.9864904,0.16,1.32
19236.144867,10846.9079367,38346.287913,32824.9043043,0.4,0.28
23406.536496,15952.4287928,25986.960394,15714.4172481,0.16,1.36
16744.15485,7899.64876203,27947.924627,17850.4202319,1.2,1.32
18035.920587,9329.80193585,21780.6977289,11708.6101479,1.28,1.96
17115.734518,8064.10590125,22290.3548065,11981.1281479,1.52,1.84
13046.940548,4465.7837753,41504.095618,38470.4477884,1.16,0.04
17774.559981,8898.29300221,22044.2866368,11860.7484443,1.52,1.88
20042.970829,11961.6419987,24429.2939543,14264.7614642,0.56,1.64
14216.8129712,5378.12254872,41288.964717,38050.3955761,1.16,0.08
18829.73577,10343.51231,38755.228045,33530.073442,0.28,0.24
19802.78445,11366.4734569,28510.82024,18530.7371458,0.56,1.2
17730.979809,9170.99014361,24798.7500991,14574.0771173,1.96,1.64
16549.635937,7854.15874427,41444.209717,38374.6719712,0.48,0
19557.191288,11144.763784,35417.768863,28033.3164323,0.36,0.56
14481.106411,5634.8823969,24691.669107,14279.7332375,1.96,1.68
19002.888333,10558.0502986,38343.918077,32818.8052468,0.28,0.28
20905.210546,12880.6247759,34373.229476,26447.0588684,0.12,0.64
16094.2753,7233.33972063,24563.2861016,14246.1930216,1.52,1.68
21190.133547,13414.7692229,25429.9984297,15280.4011768,0.36,1.52
13554.058137,4821.20210484,34938.077974,27255.0790222,1.6,0.68
12967.9338493,4384.49096414,35451.62283,28045.6212251,1.6,0.64
19626.067106,11672.9256796,34152.385228,26114.3521706,0.12,0.68
16087.464253,7214.94402485,24802.0477412,14429.6855496,1.52,1.64
13511.3408557,4767.41056167,37490.820357,31356.1801791,1.52,0.44
21230.886444,12958.187747,20514.108888,10667.3598422,0.76,2
18651.122285,10138.3526078,33506.039491,25142.0671035,0.08,0.76
15895.027609,7037.95171559,41783.560887,38984.4480728,0.76,0
20721.890897,12605.8262052,33570.195575,25253.01756,0.08,0.72
12399.1183938,3954.04631039,41527.917871,38520.7170083,1.32,0.04
13320.3592938,4644.2212274,41254.780723,37993.705494,1.32,0.08
20808.790714,12555.5470883,34400.258151,26482.1329421,0.24,0.64
10643.7348044,2727.90576912,41922.093854,39244.165665,1.84,0.04
17444.987055,8764.55135266,34862.658071,27161.7665765,0.72,0.64
22564.91157,14687.4674322,27379.201894,17182.010112,0.12,1.24
10537.7182948,2662.43010188,41439.151707,38347.4602522,1.84,0.08
17453.892743,8676.66508203,34442.301527,26522.5553406,0.72,0.68
23046.170729,15568.8605137,27037.929311,16881.5258686,0.12,1.28
20446.930975,12446.1687461,34004.593557,25893.5045348,0.24,0.68
